加载数据中...
testID: 4, pe: 3100, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 3200, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 3300, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 3400, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 3500, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 3600, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 3700, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 3800, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 3900, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4000, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4100, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4200, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4300, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4400, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4500, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4600, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4700, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4800, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 4900, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5000, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5100, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5200, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5300, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5400, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5500, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5600, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5700, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5800, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 5900, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6000, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6100, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6200, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6300, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6400, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6500, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6600, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6700, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6800, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 6900, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 7000, chip: 0, ce: 0, die: 0, block: 3 加载完成
testID: 4, pe: 7100, chip: 0, ce: 0, die: 0, block: 3 加载完成
